File,Column,Fourier_Avg,Fourier_Std,Fourier_Avg_Cosine_Form,Fourier_Std_Cosine_Form
WeatherAthenryProcessed.csv,wdsp^3,f(t) = 610.100261 * cos(2π * 0.000000 * t + -0.000000) + 123.046433 * cos(2π * -0.002732 * t + 0.526557) + 123.046433 * cos(2π * 0.002732 * t + -0.526557) + 35.649618 * cos(2π * -0.051913 * t + -3.089786) + 35.649618 * cos(2π * 0.051913 * t + 3.089786),f(t) = 717.610453 * cos(2π * 0.000000 * t + -0.000000) + 167.130250 * cos(2π * -0.002732 * t + 0.386012) + 167.130250 * cos(2π * 0.002732 * t + -0.386012) + 55.826966 * cos(2π * 0.106557 * t + -1.630790) + 55.826966 * cos(2π * -0.106557 * t + 1.630790),610.100261 * np.cos(2 * np.pi * 0.000000 * days + -0.000000) + 123.046433 * np.cos(2 * np.pi * -0.002732 * days + 0.526557) + 123.046433 * np.cos(2 * np.pi * 0.002732 * days + -0.526557) + 35.649618 * np.cos(2 * np.pi * -0.051913 * days + -3.089786) + 35.649618 * np.cos(2 * np.pi * 0.051913 * days + 3.089786),717.610453 * np.cos(2 * np.pi * 0.000000 * days + -0.000000) + 167.130250 * np.cos(2 * np.pi * -0.002732 * days + 0.386012) + 167.130250 * np.cos(2 * np.pi * 0.002732 * days + -0.386012) + 55.826966 * np.cos(2 * np.pi * 0.106557 * days + -1.630790) + 55.826966 * np.cos(2 * np.pi * -0.106557 * days + 1.630790)
WeatherAthenryProcessed.csv,glorad,f(t) = 944.673951 * cos(2π * 0.000000 * t + -0.000000) + 409.421805 * cos(2π * -0.002732 * t + 2.884963) + 409.421805 * cos(2π * 0.002732 * t + -2.884963) + 37.916466 * cos(2π * -0.005464 * t + -1.721603) + 37.916466 * cos(2π * 0.005464 * t + 1.721603),f(t) = 362.813399 * cos(2π * 0.000000 * t + -0.000000) + 137.442820 * cos(2π * -0.002732 * t + 2.886467) + 137.442820 * cos(2π * 0.002732 * t + -2.886467) + 10.819274 * cos(2π * 0.005464 * t + 2.107839) + 10.819274 * cos(2π * -0.005464 * t + -2.107839),944.673951 * np.cos(2 * np.pi * 0.000000 * days + -0.000000) + 409.421805 * np.cos(2 * np.pi * -0.002732 * days + 2.884963) + 409.421805 * np.cos(2 * np.pi * 0.002732 * days + -2.884963) + 37.916466 * np.cos(2 * np.pi * -0.005464 * days + -1.721603) + 37.916466 * np.cos(2 * np.pi * 0.005464 * days + 1.721603),362.813399 * np.cos(2 * np.pi * 0.000000 * days + -0.000000) + 137.442820 * np.cos(2 * np.pi * -0.002732 * days + 2.886467) + 137.442820 * np.cos(2 * np.pi * 0.002732 * days + -2.886467) + 10.819274 * np.cos(2 * np.pi * 0.005464 * days + 2.107839) + 10.819274 * np.cos(2 * np.pi * -0.005464 * days + -2.107839)
WeatherBallyhaiseProcessed.csv,wdsp^3,f(t) = 440.594246 * cos(2π * 0.000000 * t + -0.000000) + 116.128232 * cos(2π * -0.002732 * t + 0.358378) + 116.128232 * cos(2π * 0.002732 * t + -0.358378) + 19.283119 * cos(2π * 0.117486 * t + -0.447141) + 19.283119 * cos(2π * -0.117486 * t + 0.447141),f(t) = 528.150908 * cos(2π * 0.000000 * t + -0.000000) + 149.633459 * cos(2π * -0.002732 * t + 0.337544) + 149.633459 * cos(2π * 0.002732 * t + -0.337544) + 23.446987 * cos(2π * 0.117486 * t + -0.589365) + 23.446987 * cos(2π * -0.117486 * t + 0.589365),440.594246 * np.cos(2 * np.pi * 0.000000 * days + -0.000000) + 116.128232 * np.cos(2 * np.pi * -0.002732 * days + 0.358378) + 116.128232 * np.cos(2 * np.pi * 0.002732 * days + -0.358378) + 19.283119 * np.cos(2 * np.pi * 0.117486 * days + -0.447141) + 19.283119 * np.cos(2 * np.pi * -0.117486 * days + 0.447141),528.150908 * np.cos(2 * np.pi * 0.000000 * days + -0.000000) + 149.633459 * np.cos(2 * np.pi * -0.002732 * days + 0.337544) + 149.633459 * np.cos(2 * np.pi * 0.002732 * days + -0.337544) + 23.446987 * np.cos(2 * np.pi * 0.117486 * days + -0.589365) + 23.446987 * np.cos(2 * np.pi * -0.117486 * days + 0.589365)
WeatherBallyhaiseProcessed.csv,glorad,f(t) = 895.348824 * cos(2π * 0.000000 * t + -0.000000) + 388.655745 * cos(2π * -0.002732 * t + 2.907815) + 388.655745 * cos(2π * 0.002732 * t + -2.907815) + 29.011559 * cos(2π * -0.005464 * t + -1.706297) + 29.011559 * cos(2π * 0.005464 * t + 1.706297),f(t) = 337.028355 * cos(2π * 0.000000 * t + -0.000000) + 128.419178 * cos(2π * -0.002732 * t + 2.883807) + 128.419178 * cos(2π * 0.002732 * t + -2.883807) + 12.230007 * cos(2π * -0.005464 * t + -2.212139) + 12.230007 * cos(2π * 0.005464 * t + 2.212139),895.348824 * np.cos(2 * np.pi * 0.000000 * days + -0.000000) + 388.655745 * np.cos(2 * np.pi * -0.002732 * days + 2.907815) + 388.655745 * np.cos(2 * np.pi * 0.002732 * days + -2.907815) + 29.011559 * np.cos(2 * np.pi * -0.005464 * days + -1.706297) + 29.011559 * np.cos(2 * np.pi * 0.005464 * days + 1.706297),337.028355 * np.cos(2 * np.pi * 0.000000 * days + -0.000000) + 128.419178 * np.cos(2 * np.pi * -0.002732 * days + 2.883807) + 128.419178 * np.cos(2 * np.pi * 0.002732 * days + -2.883807) + 12.230007 * np.cos(2 * np.pi * -0.005464 * days + -2.212139) + 12.230007 * np.cos(2 * np.pi * 0.005464 * days + 2.212139)
WeatherCarlowOakparkProcessed.csv,wdsp^3,f(t) = 715.150580 * cos(2π * 0.000000 * t + -0.000000) + 169.444563 * cos(2π * -0.002732 * t + 0.374241) + 169.444563 * cos(2π * 0.002732 * t + -0.374241) + 37.523878 * cos(2π * 0.142077 * t + 3.111961) + 37.523878 * cos(2π * -0.142077 * t + -3.111961),f(t) = 944.253106 * cos(2π * 0.000000 * t + -0.000000) + 271.812088 * cos(2π * -0.002732 * t + 0.375189) + 271.812088 * cos(2π * 0.002732 * t + -0.375189) + 50.509605 * cos(2π * 0.142077 * t + -2.976229) + 50.509605 * cos(2π * -0.142077 * t + 2.976229),715.150580 * np.cos(2 * np.pi * 0.000000 * days + -0.000000) + 169.444563 * np.cos(2 * np.pi * -0.002732 * days + 0.374241) + 169.444563 * np.cos(2 * np.pi * 0.002732 * days + -0.374241) + 37.523878 * np.cos(2 * np.pi * 0.142077 * days + 3.111961) + 37.523878 * np.cos(2 * np.pi * -0.142077 * days + -3.111961),944.253106 * np.cos(2 * np.pi * 0.000000 * days + -0.000000) + 271.812088 * np.cos(2 * np.pi * -0.002732 * days + 0.375189) + 271.812088 * np.cos(2 * np.pi * 0.002732 * days + -0.375189) + 50.509605 * np.cos(2 * np.pi * 0.142077 * days + -2.976229) + 50.509605 * np.cos(2 * np.pi * -0.142077 * days + 2.976229)
WeatherCarlowOakparkProcessed.csv,glorad,f(t) = 947.698731 * cos(2π * 0.000000 * t + -0.000000) + 401.986193 * cos(2π * -0.002732 * t + 2.905853) + 401.986193 * cos(2π * 0.002732 * t + -2.905853) + 25.446340 * cos(2π * -0.005464 * t + -1.528353) + 25.446340 * cos(2π * 0.005464 * t + 1.528353),f(t) = 359.188753 * cos(2π * 0.000000 * t + -0.000000) + 131.824381 * cos(2π * -0.002732 * t + 2.860441) + 131.824381 * cos(2π * 0.002732 * t + -2.860441) + 13.542862 * cos(2π * 0.005464 * t + 2.220189) + 13.542862 * cos(2π * -0.005464 * t + -2.220189),947.698731 * np.cos(2 * np.pi * 0.000000 * days + -0.000000) + 401.986193 * np.cos(2 * np.pi * -0.002732 * days + 2.905853) + 401.986193 * np.cos(2 * np.pi * 0.002732 * days + -2.905853) + 25.446340 * np.cos(2 * np.pi * -0.005464 * days + -1.528353) + 25.446340 * np.cos(2 * np.pi * 0.005464 * days + 1.528353),359.188753 * np.cos(2 * np.pi * 0.000000 * days + -0.000000) + 131.824381 * np.cos(2 * np.pi * -0.002732 * days + 2.860441) + 131.824381 * np.cos(2 * np.pi * 0.002732 * days + -2.860441) + 13.542862 * np.cos(2 * np.pi * 0.005464 * days + 2.220189) + 13.542862 * np.cos(2 * np.pi * -0.005464 * days + -2.220189)
WeatherClaremorrisProcessed.csv,wdsp^3,f(t) = 1103.861832 * cos(2π * 0.000000 * t + -0.000000) + 237.256946 * cos(2π * -0.002732 * t + 0.450909) + 237.256946 * cos(2π * 0.002732 * t + -0.450909) + 27.712610 * cos(2π * 0.005464 * t + -1.914404) + 27.712610 * cos(2π * -0.005464 * t + 1.914404),f(t) = 1515.510509 * cos(2π * 0.000000 * t + -0.000000) + 371.458745 * cos(2π * -0.002732 * t + 0.325587) + 371.458745 * cos(2π * 0.002732 * t + -0.325587) + 54.671724 * cos(2π * -0.232240 * t + 0.063520) + 54.671724 * cos(2π * 0.232240 * t + -0.063520),1103.861832 * np.cos(2 * np.pi * 0.000000 * days + -0.000000) + 237.256946 * np.cos(2 * np.pi * -0.002732 * days + 0.450909) + 237.256946 * np.cos(2 * np.pi * 0.002732 * days + -0.450909) + 27.712610 * np.cos(2 * np.pi * 0.005464 * days + -1.914404) + 27.712610 * np.cos(2 * np.pi * -0.005464 * days + 1.914404),1515.510509 * np.cos(2 * np.pi * 0.000000 * days + -0.000000) + 371.458745 * np.cos(2 * np.pi * -0.002732 * days + 0.325587) + 371.458745 * np.cos(2 * np.pi * 0.002732 * days + -0.325587) + 54.671724 * np.cos(2 * np.pi * -0.232240 * days + 0.063520) + 54.671724 * np.cos(2 * np.pi * 0.232240 * days + -0.063520)
WeatherClaremorrisProcessed.csv,glorad,f(t) = 903.445333 * cos(2π * 0.000000 * t + -0.000000) + 394.039971 * cos(2π * -0.002732 * t + 2.892462) + 394.039971 * cos(2π * 0.002732 * t + -2.892462) + 38.015242 * cos(2π * 0.005464 * t + 1.725151) + 38.015242 * cos(2π * -0.005464 * t + -1.725151),f(t) = 353.449151 * cos(2π * 0.000000 * t + -0.000000) + 137.776254 * cos(2π * -0.002732 * t + 2.855996) + 137.776254 * cos(2π * 0.002732 * t + -2.855996) + 12.047731 * cos(2π * -0.005464 * t + -2.003680) + 12.047731 * cos(2π * 0.005464 * t + 2.003680),903.445333 * np.cos(2 * np.pi * 0.000000 * days + -0.000000) + 394.039971 * np.cos(2 * np.pi * -0.002732 * days + 2.892462) + 394.039971 * np.cos(2 * np.pi * 0.002732 * days + -2.892462) + 38.015242 * np.cos(2 * np.pi * 0.005464 * days + 1.725151) + 38.015242 * np.cos(2 * np.pi * -0.005464 * days + -1.725151),353.449151 * np.cos(2 * np.pi * 0.000000 * days + -0.000000) + 137.776254 * np.cos(2 * np.pi * -0.002732 * days + 2.855996) + 137.776254 * np.cos(2 * np.pi * 0.002732 * days + -2.855996) + 12.047731 * np.cos(2 * np.pi * -0.005464 * days + -2.003680) + 12.047731 * np.cos(2 * np.pi * 0.005464 * days + 2.003680)
WeatherDunsanyProcessed.csv,wdsp^3,f(t) = 846.175383 * cos(2π * 0.000000 * t + -0.000000) + 213.856719 * cos(2π * -0.002732 * t + 0.395644) + 213.856719 * cos(2π * 0.002732 * t + -0.395644) + 44.396759 * cos(2π * -0.005464 * t + 0.902254) + 44.396759 * cos(2π * 0.005464 * t + -0.902254),f(t) = 1007.210125 * cos(2π * 0.000000 * t + -0.000000) + 275.701879 * cos(2π * -0.002732 * t + 0.402082) + 275.701879 * cos(2π * 0.002732 * t + -0.402082) + 52.355775 * cos(2π * 0.142077 * t + -2.862270) + 52.355775 * cos(2π * -0.142077 * t + 2.862270),846.175383 * np.cos(2 * np.pi * 0.000000 * days + -0.000000) + 213.856719 * np.cos(2 * np.pi * -0.002732 * days + 0.395644) + 213.856719 * np.cos(2 * np.pi * 0.002732 * days + -0.395644) + 44.396759 * np.cos(2 * np.pi * -0.005464 * days + 0.902254) + 44.396759 * np.cos(2 * np.pi * 0.005464 * days + -0.902254),1007.210125 * np.cos(2 * np.pi * 0.000000 * days + -0.000000) + 275.701879 * np.cos(2 * np.pi * -0.002732 * days + 0.402082) + 275.701879 * np.cos(2 * np.pi * 0.002732 * days + -0.402082) + 52.355775 * np.cos(2 * np.pi * 0.142077 * days + -2.862270) + 52.355775 * np.cos(2 * np.pi * -0.142077 * days + 2.862270)
,,,,,
WeatherFermoyMoorepackProcessed.csv,wdsp^3,f(t) = 343.309241 * cos(2π * 0.000000 * t + -0.000000) + 72.460247 * cos(2π * -0.002732 * t + 0.670297) + 72.460247 * cos(2π * 0.002732 * t + -0.670297) + 15.390016 * cos(2π * 0.076503 * t + -0.760572) + 15.390016 * cos(2π * -0.076503 * t + 0.760572),f(t) = 438.804050 * cos(2π * 0.000000 * t + -0.000000) + 112.658669 * cos(2π * -0.002732 * t + 0.526462) + 112.658669 * cos(2π * 0.002732 * t + -0.526462) + 28.036090 * cos(2π * 0.142077 * t + 3.080240) + 28.036090 * cos(2π * -0.142077 * t + -3.080240),343.309241 * np.cos(2 * np.pi * 0.000000 * days + -0.000000) + 72.460247 * np.cos(2 * np.pi * -0.002732 * days + 0.670297) + 72.460247 * np.cos(2 * np.pi * 0.002732 * days + -0.670297) + 15.390016 * np.cos(2 * np.pi * 0.076503 * days + -0.760572) + 15.390016 * np.cos(2 * np.pi * -0.076503 * days + 0.760572),438.804050 * np.cos(2 * np.pi * 0.000000 * days + -0.000000) + 112.658669 * np.cos(2 * np.pi * -0.002732 * days + 0.526462) + 112.658669 * np.cos(2 * np.pi * 0.002732 * days + -0.526462) + 28.036090 * np.cos(2 * np.pi * 0.142077 * days + 3.080240) + 28.036090 * np.cos(2 * np.pi * -0.142077 * days + -3.080240)
WeatherFermoyMoorepackProcessed.csv,glorad,f(t) = 935.938589 * cos(2π * 0.000000 * t + -0.000000) + 393.507642 * cos(2π * -0.002732 * t + 2.918190) + 393.507642 * cos(2π * 0.002732 * t + -2.918190) + 21.585158 * cos(2π * 0.005464 * t + 1.392904) + 21.585158 * cos(2π * -0.005464 * t + -1.392904),f(t) = 364.359216 * cos(2π * 0.000000 * t + -0.000000) + 133.410933 * cos(2π * -0.002732 * t + 2.869008) + 133.410933 * cos(2π * 0.002732 * t + -2.869008) + 11.128975 * cos(2π * -0.005464 * t + -2.201439) + 11.128975 * cos(2π * 0.005464 * t + 2.201439),935.938589 * np.cos(2 * np.pi * 0.000000 * days + -0.000000) + 393.507642 * np.cos(2 * np.pi * -0.002732 * days + 2.918190) + 393.507642 * np.cos(2 * np.pi * 0.002732 * days + -2.918190) + 21.585158 * np.cos(2 * np.pi * 0.005464 * days + 1.392904) + 21.585158 * np.cos(2 * np.pi * -0.005464 * days + -1.392904),364.359216 * np.cos(2 * np.pi * 0.000000 * days + -0.000000) + 133.410933 * np.cos(2 * np.pi * -0.002732 * days + 2.869008) + 133.410933 * np.cos(2 * np.pi * 0.002732 * days + -2.869008) + 11.128975 * np.cos(2 * np.pi * -0.005464 * days + -2.201439) + 11.128975 * np.cos(2 * np.pi * 0.005464 * days + 2.201439)
WeatherFinnerProcessed.csv,wdsp^3,f(t) = 1939.404228 * cos(2π * 0.000000 * t + -0.000000) + 529.598164 * cos(2π * -0.002732 * t + 0.219172) + 529.598164 * cos(2π * 0.002732 * t + -0.219172) + 181.382104 * cos(2π * -0.005464 * t + 0.534682) + 181.382104 * cos(2π * 0.005464 * t + -0.534682),f(t) = 2437.020663 * cos(2π * 0.000000 * t + -0.000000) + 687.773148 * cos(2π * -0.002732 * t + 0.245948) + 687.773148 * cos(2π * 0.002732 * t + -0.245948) + 237.231462 * cos(2π * -0.005464 * t + 0.439345) + 237.231462 * cos(2π * 0.005464 * t + -0.439345),1939.404228 * np.cos(2 * np.pi * 0.000000 * days + -0.000000) + 529.598164 * np.cos(2 * np.pi * -0.002732 * days + 0.219172) + 529.598164 * np.cos(2 * np.pi * 0.002732 * days + -0.219172) + 181.382104 * np.cos(2 * np.pi * -0.005464 * days + 0.534682) + 181.382104 * np.cos(2 * np.pi * 0.005464 * days + -0.534682),2437.020663 * np.cos(2 * np.pi * 0.000000 * days + -0.000000) + 687.773148 * np.cos(2 * np.pi * -0.002732 * days + 0.245948) + 687.773148 * np.cos(2 * np.pi * 0.002732 * days + -0.245948) + 237.231462 * np.cos(2 * np.pi * -0.005464 * days + 0.439345) + 237.231462 * np.cos(2 * np.pi * 0.005464 * days + -0.439345)
WeatherDunsanyProcessed.csv,glorad,f(t) = 951.031830 * cos(2π * 0.000000 * t + -0.000000) + 409.147433 * cos(2π * -0.002732 * t + 2.905366) + 409.147433 * cos(2π * 0.002732 * t + -2.905366) + 31.293165 * cos(2π * -0.005464 * t + -1.649791) + 31.293165 * cos(2π * 0.005464 * t + 1.649791),f(t) = 349.510181 * cos(2π * 0.000000 * t + -0.000000) + 132.553571 * cos(2π * -0.002732 * t + 2.863325) + 132.553571 * cos(2π * 0.002732 * t + -2.863325) + 14.800411 * cos(2π * 0.005464 * t + 1.978060) + 14.800411 * cos(2π * -0.005464 * t + -1.978060),951.031830 * np.cos(2 * np.pi * 0.000000 * days + -0.000000) + 409.147433 * np.cos(2 * np.pi * -0.002732 * days + 2.905366) + 409.147433 * np.cos(2 * np.pi * 0.002732 * days + -2.905366) + 31.293165 * np.cos(2 * np.pi * -0.005464 * days + -1.649791) + 31.293165 * np.cos(2 * np.pi * 0.005464 * days + 1.649791),349.510181 * np.cos(2 * np.pi * 0.000000 * days + -0.000000) + 132.553571 * np.cos(2 * np.pi * -0.002732 * days + 2.863325) + 132.553571 * np.cos(2 * np.pi * 0.002732 * days + -2.863325) + 14.800411 * np.cos(2 * np.pi * 0.005464 * days + 1.978060) + 14.800411 * np.cos(2 * np.pi * -0.005464 * days + -1.978060)
